トークン	品詞
のは	['名詞', '助詞']
がある	['助詞', '動詞']
になる	['助詞', '動詞']
のが	['名詞', '助詞']
ている	['助詞', '動詞']
ように	['名詞', '助詞']
のか	['名詞', '助詞']
と思います	['助詞', '動詞', '助動詞']
があります	['助詞', '動詞', '助動詞']
私は	['名詞', '助詞']
自分の	['名詞', '助詞']
的に	['名詞', '助詞']
これは	['名詞', '助詞']
にある	['助詞', '動詞']
ています	['助詞', '動詞', '助動詞']
になった	['助詞', '動詞', '助動詞']
ことを	['名詞', '助詞']
人の	['名詞', '助詞']
ことが	['名詞', '助詞']
さんの	['名詞', '助詞']
になります	['助詞', '動詞', '助動詞']
人が	['名詞', '助詞']
私の	['名詞', '助詞']
人は	['名詞', '助詞']
があり	['助詞', '動詞']
それは	['名詞', '助詞']
と思う	['助詞', '動詞']
というのは	['助詞', '名詞', '助詞']
のある	['助詞', '動詞']
ことは	['名詞', '助詞']
になって	['助詞', '動詞', '助詞']
となる	['助詞', '動詞']
前に	['名詞', '助詞']
他の	['名詞', '助詞']
のような	['助詞', '名詞', '助動詞']
にして	['助詞', '動詞', '助詞']
のように	['助詞', '名詞', '助詞']
のも	['名詞', '助詞']
の中で	['助詞', '名詞', '助詞']
をする	['助詞', '動詞']
日本の	['名詞', '助詞']
私が	['名詞', '助詞']
何か	['名詞', '助詞']
多くの	['名詞', '助詞']
を見る	['助詞', '動詞']
場合は	['名詞', '助詞']
ていた	['助詞', '動詞', '助動詞']
となります	['助詞', '動詞', '助動詞']
日に	['名詞', '助詞']
ということ	['助詞', '名詞']
もある	['助詞', '動詞']
があった	['助詞', '動詞', '助動詞']
を見	['助詞', '動詞']
さんが	['名詞', '助詞']
方は	['名詞', '助詞']
の方が	['助詞', '名詞', '助詞']
をして	['助詞', '動詞', '助詞']
それを	['名詞', '助詞']
になり	['助詞', '動詞']
年に	['名詞', '助詞']
のために	['助詞', '名詞', '助詞']
あなたの	['名詞', '助詞']
それが	['名詞', '助詞']
今回は	['名詞', '助詞']
っていた	['助詞', '動詞', '助動詞']
年の	['名詞', '助詞']
日の	['名詞', '助詞']
を使って	['助詞', '動詞', '助詞']
を見て	['助詞', '動詞', '助詞']
の場合	['助詞', '名詞']
中の	['名詞', '助詞']
ということで	['助詞', '名詞', '助動詞']
後に	['名詞', '助詞']
人気の	['名詞', '助詞']
簡単に	['名詞', '助詞']
私も	['名詞', '助詞']
方が	['名詞', '助詞']
今回の	['名詞', '助詞']
ために	['名詞', '助詞']
続きを読む	['名詞', '助詞', '動詞']
者の	['名詞', '助詞']
非常に	['名詞', '助詞']
かもしれません	['助詞', '動詞', '助動詞', '助動詞']
になりました	['助詞', '動詞', '助動詞', '助動詞']
のこと	['助詞', '名詞']
のため	['助詞', '名詞']
さんは	['名詞', '助詞']
上の	['名詞', '助詞']
と言う	['助詞', '動詞']
はこちら	['助詞', '名詞']
ができる	['助詞', '動詞']
時の	['名詞', '助詞']
人に	['名詞', '助詞']
になっている	['助詞', '動詞', '助詞', '動詞']
次の	['名詞', '助詞']
後の	['名詞', '助詞']
月の	['名詞', '助詞']
と思った	['助詞', '動詞', '助動詞']
等の	['名詞', '助詞']
今日は	['名詞', '助詞']
とした	['助詞', '動詞', '助動詞']
月に	['名詞', '助詞']
市の	['名詞', '助詞']
前の	['名詞', '助詞']
今の	['名詞', '助詞']
気になる	['名詞', '助詞', '動詞']
今まで	['名詞', '助詞']
を行う	['助詞', '動詞']
となった	['助詞', '動詞', '助動詞']
ときは	['名詞', '助詞']
自分が	['名詞', '助詞']
時は	['名詞', '助詞']
ときに	['名詞', '助詞']
これが	['名詞', '助詞']
と思って	['助詞', '動詞', '助詞']
とし	['助詞', '動詞']
以上の	['名詞', '助詞']
の方	['助詞', '名詞']
があって	['助詞', '動詞', '助詞']
自分で	['名詞', '助詞']
中に	['名詞', '助詞']
ことも	['名詞', '助詞']
もあります	['助詞', '動詞', '助動詞']
に行く	['助詞', '動詞']
