トークン	品詞
年に	['名詞', '助詞']
ている	['助詞', '動詞']
日に	['名詞', '助詞']
となった	['助詞', '動詞', '助動詞']
となる	['助詞', '動詞']
がある	['助詞', '動詞']
月に	['名詞', '助詞']
ていた	['助詞', '動詞', '助動詞']
年には	['名詞', '助詞', '助詞']
年から	['名詞', '助詞']
後に	['名詞', '助詞']
となっている	['助詞', '動詞', '助詞', '動詞']
ており	['助詞', '動詞']
にある	['助詞', '動詞']
年の	['名詞', '助詞']
これは	['名詞', '助詞']
があり	['助詞', '動詞']
現在の	['名詞', '助詞']
日本の	['名詞', '助詞']
人の	['名詞', '助詞']
になった	['助詞', '動詞', '助動詞']
多くの	['名詞', '助詞']
とする	['助詞', '動詞']
になる	['助詞', '動詞']
を持つ	['助詞', '動詞']
他の	['名詞', '助詞']
と呼ばれる	['助詞', '動詞', '動詞']
日の	['名詞', '助詞']
を行う	['助詞', '動詞']
的に	['名詞', '助詞']
当時の	['名詞', '助詞']
ことから	['名詞', '助詞']
のため	['助詞', '名詞']
を経て	['助詞', '動詞', '助詞']
彼は	['名詞', '助詞']
があった	['助詞', '動詞', '助動詞']
ように	['名詞', '助詞']
ために	['名詞', '助詞']
後の	['名詞', '助詞']
のために	['助詞', '名詞', '助詞']
とされる	['助詞', '動詞', '動詞']
もある	['助詞', '動詞']
月には	['名詞', '助詞', '助詞']
を行った	['助詞', '動詞', '助動詞']
年まで	['名詞', '助詞']
ことを	['名詞', '助詞']
を受け	['助詞', '動詞']
これらの	['名詞', '助詞']
とした	['助詞', '動詞', '助動詞']
のような	['助詞', '名詞', '助動詞']
ことが	['名詞', '助詞']
日には	['名詞', '助詞', '助詞']
現在は	['名詞', '助詞']
主に	['名詞', '助詞']
を含む	['助詞', '動詞']
日から	['名詞', '助詞']
最初の	['名詞', '助詞']
人が	['名詞', '助詞']
の中で	['助詞', '名詞', '助詞']
彼の	['名詞', '助詞']
を受けた	['助詞', '動詞', '助動詞']
のうち	['助詞', '名詞']
中に	['名詞', '助詞']
になっている	['助詞', '動詞', '助詞', '動詞']
を務めた	['助詞', '動詞', '助動詞']
になり	['助詞', '動詞']
初の	['名詞', '助詞']
のように	['助詞', '名詞', '助詞']
を行い	['助詞', '動詞']
当初は	['名詞', '助詞']
のある	['助詞', '動詞']
月から	['名詞', '助詞']
にあった	['助詞', '動詞', '助動詞']
によれば	['助詞', '動詞', '助詞']
を中心に	['助詞', '名詞', '助詞']
等の	['名詞', '助詞']
上の	['名詞', '助詞']
っていた	['助詞', '動詞', '助動詞']
戦で	['名詞', '助詞']
としている	['助詞', '動詞', '助詞', '動詞']
これを	['名詞', '助詞']
中の	['名詞', '助詞']
の一部	['助詞', '名詞']
によると	['助詞', '動詞', '助詞']
内の	['名詞', '助詞']
が行われた	['助詞', '動詞', '動詞', '助動詞']
に伴い	['助詞', '動詞']
用の	['名詞', '助詞']
とし	['助詞', '動詞']
家の	['名詞', '助詞']
時の	['名詞', '助詞']
市の	['名詞', '助詞']
ていたが	['助詞', '動詞', '助動詞', '助詞']
ことができる	['名詞', '助詞', '動詞']
ようになった	['名詞', '助詞', '動詞', '助動詞']
前に	['名詞', '助詞']
自身の	['名詞', '助詞']
日本では	['名詞', '助詞', '助詞']
時代の	['名詞', '助詞']
年より	['名詞', '助詞']
を受けて	['助詞', '動詞', '助詞']
のための	['助詞', '名詞', '助詞']
以上の	['名詞', '助詞']
とされている	['助詞', '動詞', '動詞', '助詞', '動詞']
に位置する	['助詞', '名詞', '動詞']
てきた	['助詞', '動詞', '助動詞']
こともある	['名詞', '助詞', '動詞']
にあたる	['助詞', '動詞']
最後の	['名詞', '助詞']
以外の	['名詞', '助詞']
人は	['名詞', '助詞']
ことがある	['名詞', '助詞', '動詞']
上で	['名詞', '助詞']
後は	['名詞', '助詞']
もあり	['助詞', '動詞']
を見	['助詞', '動詞']
自分の	['名詞', '助詞']
者の	['名詞', '助詞']
ことは	['名詞', '助詞']
これが	['名詞', '助詞']
内に	['名詞', '助詞']
日まで	['名詞', '助詞']
歳で	['名詞', '助詞']
を行っている	['助詞', '動詞', '助詞', '動詞']
場合は	['名詞', '助詞']
系の	['名詞', '助詞']
軍の	['名詞', '助詞']
を務める	['助詞', '動詞']
一部の	['名詞', '助詞']
を持ち	['助詞', '動詞']
の研究	['助詞', '名詞']
全ての	['名詞', '助詞']
になると	['助詞', '動詞', '助詞']
線の	['名詞', '助詞']
者は	['名詞', '助詞']
非常に	['名詞', '助詞']
アメリカの	['名詞', '助詞']
者が	['名詞', '助詞']
間の	['名詞', '助詞']
前の	['名詞', '助詞']
の大	['助詞', '名詞']
それを	['名詞', '助詞']
複数の	['名詞', '助詞']
の一つ	['助詞', '名詞']
名は	['名詞', '助詞']
数は	['名詞', '助詞']
の娘	['助詞', '名詞']
をもって	['助詞', '動詞', '助詞']
上に	['名詞', '助詞']
で行われた	['助詞', '動詞', '動詞', '助動詞']
にあり	['助詞', '動詞']
別の	['名詞', '助詞']
の戦い	['助詞', '名詞']
と考えられている	['助詞', '動詞', '動詞', '助詞', '動詞']
を受ける	['助詞', '動詞']
が行われ	['助詞', '動詞', '動詞']
側の	['名詞', '助詞']
内で	['名詞', '助詞']
これにより	['名詞', '助詞']
新たに	['名詞', '助詞']
を務め	['助詞', '名詞']
いくつかの	['名詞', '助詞', '助詞']
と呼ぶ	['助詞', '動詞']
となっていた	['助詞', '動詞', '助詞', '動詞', '助動詞']
それは	['名詞', '助詞']
となって	['助詞', '動詞', '助詞']
出身の	['名詞', '助詞']
になって	['助詞', '動詞', '助詞']
を開始した	['助詞', '名詞', '動詞', '助動詞']
形で	['名詞', '助詞']
その後も	['名詞', '助詞']
国の	['名詞', '助詞']
いずれも	['名詞', '助詞']
がいる	['助詞', '動詞']
に入り	['助詞', '動詞']
以降は	['名詞', '助詞']
の開発	['助詞', '名詞']
イギリスの	['名詞', '助詞']
多数の	['名詞', '助詞']
最大の	['名詞', '助詞']
とその	['名詞', '助詞']
たちは	['名詞', '助詞']
の後	['助詞', '名詞']
を結ぶ	['助詞', '動詞']
年にかけて	['名詞', '助詞']
のほか	['助詞', '名詞']
型の	['名詞', '助詞']
ごとに	['名詞', '助詞']
ていく	['助詞', '動詞']
の場合	['助詞', '名詞']
の間	['助詞', '名詞']
を得た	['助詞', '動詞', '助動詞']
